Data Set 2:Time(s),Data Set 2:Potential(V),Data Set 2:Position(m)
0,0.033,0.338
0.05,0.033,0.337
0.1,0.033,0.336
0.15,0.033,0.336
0.2,0.027,0.337
0.25,0.033,0.337
0.3,0.033,0.338
0.35,0.036,0.339
0.4,0.03,0.34
0.45,0.033,0.341
0.5,0.033,0.341
0.55,0.033,0.341
0.6,0.033,0.341
0.65,0.024,0.34
0.7,0.033,0.34
0.75,0.036,0.339
0.8,0.036,0.338
0.85,0.024,0.337
0.9,0.033,0.337
0.95,0.036,0.336
1,0.033,0.337
1.05,0.024,0.337
1.1,0.033,0.338
1.15,0.036,0.339
1.2,0.036,0.34
1.25,0.024,0.34
1.3,0.033,0.341
1.35,0.036,0.341
1.4,0.033,0.341
1.45,0.024,0.341
1.5,0.033,0.34
1.55,0.033,0.339
1.6,0.033,0.338
1.65,0.033,0.337
1.7,0.033,0.337
1.75,0.033,0.336
1.8,0.033,0.336
1.85,0.036,0.337
1.9,0.024,0.338
1.95,0.033,0.339
2,0.03,0.339
2.05,0.024,0.34
2.1,0.03,0.341
2.15,0.033,0.341
2.2,0.033,0.341
2.25,0.033,0.341
2.3,0.03,0.34
2.35,0.03,0.339
2.4,0.033,0.338
2.45,0.033,0.338
2.5,0.036,0.337
2.55,0.027,0.336
2.6,0.033,0.337
2.65,0.033,0.337
2.7,0.033,0.338
2.75,0.027,0.339
2.8,0.033,0.339
2.85,0.036,0.34
2.9,0.036,0.341
2.95,0.03,0.341
3,0.03,0.341
3.05,0.03,0.341
3.1,0.033,0.34
3.15,0.027,0.34
3.2,0.033,0.339
3.25,0.033,0.338
3.3,0.033,0.337
3.35,0.033,0.337
3.4,0.036,0.337
3.45,0.033,0.337
3.5,0.033,0.338
3.55,0.036,0.338
3.6,0.036,0.339
3.65,0.03,0.34
3.7,0.024,0.341
3.75,0.033,0.341
3.8,0.027,0.341
3.85,0.033,0.341
3.9,0.027,0.34
3.95,0.033,0.34
4,0.027,0.339
4.05,0.03,0.338
4.1,0.033,0.337
4.15,0.033,0.337
4.2,0.033,0.336
4.25,0.033,0.337
4.3,0.589,0.337
4.35,2.042,0.338
4.4,3.184,0.339
4.45,3.846,0.339
4.5,3.937,0.339
4.55,3.426,0.339
4.6,2.408,0.339
4.65,1.015,0.338
4.7,-0.52,0.337
4.75,-1.97,0.337
4.8,-3.112,0.337
4.85,-3.771,0.337
4.9,-3.868,0.339
4.95,-3.354,0.34
5,-2.333,0.341
5.05,-0.943,0.343
5.1,0.589,0.344
5.15,2.042,0.344
5.2,3.184,0.343
5.25,3.849,0.342
5.3,3.937,0.339
5.35,3.426,0.337
5.4,2.408,0.334
5.45,1.009,0.332
5.5,-0.52,0.331
5.55,-1.973,0.331
5.6,-3.115,0.332
5.65,-3.777,0.335
5.7,-3.868,0.338
